The nearest neighbor of (0.500000, 0.500000) is (0.498659, 0.500257).

There are 3338 points in the rectangle (0.300000, 0.300000), (0.300000, 0.410000), (0.600000, 0.300000), (0.600000, 0.410000): 
(0.375074, 0.300480)
(0.316450, 0.301442)
(0.306553, 0.303084)
(0.302066, 0.303058)
(0.301031, 0.339465)
(0.300393, 0.343469)
(0.300200, 0.374902)
(0.300042, 0.351264)
(0.300008, 0.492452)
(0.300012, 0.473729)
(0.300156, 0.317006)
(0.300071, 0.577665)
(0.300042, 0.422151)
(0.300087, 0.488262)
(0.300195, 0.483521)
(0.300264, 0.397517)
(0.300222, 0.585301)
(0.300209, 0.392154)
(0.300224, 0.532701)
(0.300334, 0.426250)
(0.300275, 0.454570)
(0.300388, 0.489445)
(0.300364, 0.534599)
(0.300900, 0.311784)
(0.300654, 0.382295)
(0.300416, 0.428543)
(0.300401, 0.432037)
(0.300393, 0.510270)
(0.300618, 0.561996)
(0.300521, 0.450736)
(0.300620, 0.400610)
(0.300768, 0.418406)
(0.300720, 0.488950)
(0.300698, 0.580661)
(0.300735, 0.306926)
(0.300855, 0.496513)
(0.300806, 0.550991)
(0.300783, 0.434658)
(0.300837, 0.553004)
(0.300877, 0.456819)
(0.300949, 0.343242)
(0.300923, 0.467873)
(0.300919, 0.589359)
(0.300946, 0.417538)
(0.300971, 0.527590)
(0.300955, 0.434643)
(0.301017, 0.340454)
(0.301313, 0.335066)
(0.301067, 0.364221)
(0.301052, 0.463808)
(0.301045, 0.307578)
(0.301059, 0.586836)
(0.301056, 0.390569)
(0.301064, 0.525577)
(0.301096, 0.464984)
(0.301083, 0.367955)
(0.301091, 0.524483)
(0.301149, 0.359299)
(0.301194, 0.572323)
(0.301648, 0.406454)
(0.301360, 0.368099)
(0.301313, 0.338386)
(0.301356, 0.589304)
(0.301488, 0.441108)
(0.301375, 0.409276)
(0.301366, 0.520726)
(0.301456, 0.472503)
(0.301490, 0.444647)
(0.301905, 0.375977)
(0.301887, 0.451058)
(0.301768, 0.510018)
(0.301694, 0.420731)
(0.301803, 0.589557)
(0.301899, 0.322647)
(0.301994, 0.369537)
(0.301926, 0.567290)
(0.301926, 0.380018)
(0.301947, 0.596553)
(0.302004, 0.419464)
(0.305020, 0.309445)
(0.303660, 0.371481)
(0.302747, 0.324493)
(0.302369, 0.373628)
(0.302124, 0.389373)
(0.302093, 0.355995)
(0.302082, 0.482600)
(0.302088, 0.514622)
(0.302096, 0.447569)
(0.302103, 0.578576)
(0.302179, 0.475814)
(0.302133, 0.474352)
(0.302254, 0.533685)
(0.302252, 0.492451)
(0.302289, 0.552694)
(0.302288, 0.535369)
(0.302331, 0.409382)
(0.302560, 0.330932)
(0.302519, 0.410266)
(0.302396, 0.313773)
(0.302547, 0.419362)
(0.302534, 0.597777)
(0.302664, 0.429059)
(0.302627, 0.326164)
(0.302699, 0.423521)
(0.302720, 0.539332)
(0.303181, 0.381805)
(0.302977, 0.399211)
(0.302900, 0.376070)
(0.302781, 0.439878)
(0.302974, 0.460699)
(0.303145, 0.326152)
(0.303094, 0.554757)
(0.303051, 0.573143)
(0.303137, 0.550807)
(0.303161, 0.398057)
(0.303174, 0.402653)
(0.303471, 0.487972)
(0.303284, 0.352735)
(0.303190, 0.391874)
(0.303413, 0.494988)
(0.303388, 0.523319)
(0.303524, 0.388898)
(0.303493, 0.372463)
(0.303605, 0.384745)
(0.303602, 0.406295)
(0.303552, 0.573033)
(0.303624, 0.562981)
(0.304044, 0.358120)
(0.303867, 0.503598)
(0.303710, 0.404306)
(0.303687, 0.379353)
(0.303803, 0.450678)
(0.303736, 0.590566)
(0.303843, 0.526553)
(0.303977, 0.340141)
(0.303905, 0.498100)
(0.304043, 0.439848)
(0.304040, 0.359814)
(0.304043, 0.599004)
(0.304541, 0.310341)
(0.304447, 0.419720)
(0.304215, 0.479737)
(0.304073, 0.467665)
(0.304159, 0.565994)
(0.304307, 0.439669)
(0.304277, 0.530306)
(0.304357, 0.563717)
(0.304492, 0.359062)
(0.304455, 0.576429)
(0.304845, 0.316179)
(0.304802, 0.444158)
(0.304704, 0.580843)
(0.304620, 0.548049)
(0.304769, 0.409766)
(0.304836, 0.377593)
(0.304841, 0.530885)
(0.304959, 0.313912)
(0.304905, 0.449585)
(0.304893, 0.472048)
(0.304907, 0.485545)
(0.305018, 0.461238)
(0.305015, 0.484797)
(0.306152, 0.307391)
(0.305470, 0.314084)
(0.305361, 0.352151)
(0.305216, 0.330566)
(0.305158, 0.407104)
(0.305039, 0.599413)
(0.305246, 0.525551)
(0.305239, 0.374654)
(0.305345, 0.554439)
(0.305274, 0.578637)
(0.305355, 0.464442)
(0.305403, 0.448353)
(0.305386, 0.389101)
(0.305428, 0.327740)
(0.305457, 0.513265)
(0.305861, 0.401977)
(0.305601, 0.328371)
(0.305523, 0.337744)
(0.305493, 0.389903)
(0.305529, 0.498809)
(0.305551, 0.559979)
(0.305794, 0.459019)
(0.305633, 0.507435)
(0.305657, 0.545209)
(0.305848, 0.506648)
(0.305855, 0.595228)
(0.305982, 0.310507)
(0.305929, 0.372639)
(0.305899, 0.554848)
(0.305886, 0.459647)
(0.305901, 0.501499)
(0.305948, 0.495040)
(0.306051, 0.366594)
(0.305984, 0.502592)
(0.306045, 0.516253)
(0.306119, 0.491439)
(0.306370, 0.362167)
(0.306207, 0.403822)
(0.306202, 0.414433)
(0.306181, 0.489094)
(0.306351, 0.458843)
(0.306301, 0.513059)
(0.306256, 0.545016)
(0.306318, 0.470235)
(0.306355, 0.313632)
(0.306480, 0.312559)
(0.306454, 0.308347)
(0.306432, 0.323044)
(0.306405, 0.536498)
(0.306460, 0.348191)
(0.306465, 0.561551)
(0.306507, 0.527779)
(0.306498, 0.394926)
(0.306545, 0.500681)
(0.306525, 0.529296)
(0.311907, 0.316880)
(0.309304, 0.303497)
(0.308048, 0.305430)
(0.307121, 0.317282)
(0.306931, 0.303977)
(0.306820, 0.338305)
(0.306715, 0.425414)
(0.306604, 0.518558)
(0.306599, 0.357607)
(0.306664, 0.586798)
(0.306810, 0.552146)
(0.306802, 0.445628)
(0.306816, 0.333957)
(0.306850, 0.427254)
(0.306826, 0.538845)
(0.306917, 0.309613)
(0.306919, 0.573549)
(0.306968, 0.367909)
(0.306963, 0.319212)
(0.306954, 0.428609)
(0.307105, 0.417980)
(0.307097, 0.534596)
(0.307112, 0.483032)
(0.307577, 0.312396)
(0.307295, 0.373701)
(0.307175, 0.324296)
(0.307141, 0.430137)
(0.307174, 0.481287)
(0.307261, 0.382984)
(0.307290, 0.536520)
(0.307452, 0.343377)
(0.307359, 0.371734)
(0.307386, 0.598475)
(0.307476, 0.413342)
(0.307460, 0.509281)
(0.307519, 0.336277)
(0.307669, 0.310833)
(0.307623, 0.515929)
(0.307612, 0.359725)
(0.307606, 0.535333)
(0.307615, 0.553049)
(0.307650, 0.531298)
(0.307757, 0.368126)
(0.307678, 0.317980)
(0.307982, 0.404027)
(0.307867, 0.410482)
(0.308465, 0.314152)
(0.308200, 0.375219)
(0.308115, 0.306047)
(0.308080, 0.437377)
(0.308062, 0.553149)
(0.308067, 0.596056)
(0.308107, 0.515248)
(0.308118, 0.469851)
(0.308187, 0.469841)
(0.308305, 0.376564)
(0.308245, 0.308734)
(0.308222, 0.371421)
(0.308222, 0.571223)
(0.308254, 0.505798)
(0.308254, 0.313785)
(0.308291, 0.571900)
(0.308354, 0.477265)
(0.308347, 0.342060)
(0.308404, 0.530049)
(0.308387, 0.580266)
(0.308939, 0.315340)
(0.308761, 0.341052)
(0.308528, 0.365083)
(0.308495, 0.350642)
(0.308505, 0.534653)
(0.308643, 0.483166)
(0.308639, 0.557764)
(0.308557, 0.592535)
(0.308742, 0.380061)
(0.308864, 0.312494)
(0.308851, 0.535122)
(0.308843, 0.563438)
(0.308884, 0.422840)
(0.308869, 0.580144)
(0.309141, 0.317936)
(0.308962, 0.423340)
(0.308952, 0.445898)
(0.309135, 0.365545)
(0.309187, 0.370423)
(0.309153, 0.520457)
(0.309189, 0.561559)
(0.309211, 0.583744)
(0.311134, 0.304162)
(0.310267, 0.318429)
(0.309848, 0.355724)
(0.309557, 0.363701)
(0.309414, 0.382084)
(0.309409, 0.443284)
(0.309379, 0.480962)
(0.309545, 0.522894)
(0.309474, 0.454477)
(0.309552, 0.426625)
(0.309547, 0.584428)
(0.309750, 0.370945)
(0.309630, 0.509753)
(0.309609, 0.424430)
(0.309657, 0.438620)
(0.309650, 0.527549)
(0.309761, 0.338512)
(0.309753, 0.473110)
(0.309829, 0.512525)
(0.310078, 0.448802)
(0.309938, 0.339981)
(0.309851, 0.415011)
(0.310003, 0.575575)
(0.310002, 0.538463)
(0.310045, 0.545106)
(0.310133, 0.448408)
(0.310090, 0.454307)
(0.310201, 0.523309)
(0.310152, 0.414036)
(0.310205, 0.576838)
(0.310511, 0.317656)
(0.310341, 0.351904)
(0.310292, 0.397570)
(0.310395, 0.402306)
(0.310363, 0.302926)
(0.310489, 0.579486)
(0.310436, 0.584241)
(0.310921, 0.349268)
